PS C:\dev\mystimath\conjectura> python search_magic_square_of_squares_v4.py --max-center-root 10000000 --min-squares 8 --primitive-only --progress 250000 --csv results_8_10000000_primitive.csv
Génération des progressions de carrés...
Recherche des carrés magiques...
[progress] centre=250000/10000000 résultats=0 temps=268.0s
[progress] centre=500000/10000000 résultats=0 temps=281.9s
[progress] centre=750000/10000000 résultats=0 temps=299.7s
[progress] centre=1000000/10000000 résultats=0 temps=316.3s
[progress] centre=1250000/10000000 résultats=0 temps=334.9s
[progress] centre=1500000/10000000 résultats=0 temps=353.2s
[progress] centre=1750000/10000000 résultats=0 temps=371.1s
[progress] centre=2000000/10000000 résultats=0 temps=389.1s
[progress] centre=2250000/10000000 résultats=0 temps=408.9s
[progress] centre=2500000/10000000 résultats=0 temps=428.5s
[progress] centre=2750000/10000000 résultats=0 temps=449.3s
[progress] centre=3000000/10000000 résultats=0 temps=471.3s
[progress] centre=3250000/10000000 résultats=0 temps=492.6s
[progress] centre=3500000/10000000 résultats=0 temps=514.2s
[progress] centre=3750000/10000000 résultats=0 temps=535.9s
[progress] centre=4000000/10000000 résultats=0 temps=557.2s
[progress] centre=4250000/10000000 résultats=0 temps=578.8s
[progress] centre=4500000/10000000 résultats=0 temps=601.0s
[progress] centre=4750000/10000000 résultats=0 temps=623.0s
[progress] centre=5000000/10000000 résultats=0 temps=644.9s
[progress] centre=5250000/10000000 résultats=0 temps=667.0s
[progress] centre=5500000/10000000 résultats=0 temps=689.2s
[progress] centre=5750000/10000000 résultats=0 temps=712.4s
[progress] centre=6000000/10000000 résultats=0 temps=734.7s
[progress] centre=6250000/10000000 résultats=0 temps=759.1s
[progress] centre=6500000/10000000 résultats=0 temps=784.7s
[progress] centre=6750000/10000000 résultats=0 temps=808.5s
[progress] centre=7000000/10000000 résultats=0 temps=832.4s
[progress] centre=7250000/10000000 résultats=0 temps=859.7s
[progress] centre=7500000/10000000 résultats=0 temps=888.7s
[progress] centre=7750000/10000000 résultats=0 temps=918.2s
[progress] centre=8000000/10000000 résultats=0 temps=946.6s
[progress] centre=8250000/10000000 résultats=0 temps=973.1s
[progress] centre=8500000/10000000 résultats=0 temps=997.3s
[progress] centre=8750000/10000000 résultats=0 temps=1019.5s
[progress] centre=9000000/10000000 résultats=0 temps=1042.3s
[progress] centre=9250000/10000000 résultats=0 temps=1068.4s
[progress] centre=9500000/10000000 résultats=0 temps=1094.6s
[progress] centre=9750000/10000000 résultats=0 temps=1122.7s
[progress] centre=10000000/10000000 résultats=0 temps=1149.4s

Résultats trouvés : 0
