PS C:\dev\mystimath\conjectura\magic-square-of-squares-3x3> python src/search_non_square_center_v2.py --max-root 10000
Profil B2-1
  cible      : racines extérieures <= 50,000
  objectif   : Dépasser proprement la borne 20 000.
  arrêt      : Stop si mur mémoire persistant après réécriture raisonnable.
Recherche B2 — centre non nécessairement carré
  max-root           : 10,000
  center-block-size  : 200,000
  moduli             : [8, 3, 5, 7, 11]
  primitive-only     : False
  distinct-roots     : False
  out                : (aucune sortie CSV)
  [   25.9s] centers=46,087  results=0  rate=1,780 centers/s
  [   52.1s] centers=89,499  results=0  rate=1,718 centers/s
  [   78.7s] centers=132,018  results=0  rate=1,678 centers/s
  [  105.6s] centers=174,014  results=0  rate=1,648 centers/s
  [  132.1s] centers=215,594  results=0  rate=1,633 centers/s
  [  158.8s] centers=256,915  results=0  rate=1,618 centers/s
  [  185.2s] centers=297,954  results=0  rate=1,609 centers/s
  [  211.7s] centers=338,797  results=0  rate=1,601 centers/s
  [  239.0s] centers=379,453  results=0  rate=1,588 centers/s
  [  266.2s] centers=419,945  results=0  rate=1,577 centers/s
  [  293.7s] centers=460,318  results=0  rate=1,567 centers/s
  [  321.3s] centers=500,532  results=0  rate=1,558 centers/s
  [  348.8s] centers=540,670  results=0  rate=1,550 centers/s
  [  377.4s] centers=580,668  results=0  rate=1,539 centers/s
  [  405.0s] centers=620,573  results=0  rate=1,532 centers/s
  [  432.0s] centers=660,421  results=0  rate=1,529 centers/s
  [  458.7s] centers=700,150  results=0  rate=1,526 centers/s
  [  485.7s] centers=739,803  results=0  rate=1,523 centers/s
  [  512.7s] centers=779,397  results=0  rate=1,520 centers/s
  [  539.2s] centers=818,907  results=0  rate=1,519 centers/s
  [  566.3s] centers=858,387  results=0  rate=1,516 centers/s
  [  593.4s] centers=897,771  results=0  rate=1,513 centers/s
  [  620.1s] centers=937,071  results=0  rate=1,511 centers/s
  [  647.1s] centers=976,366  results=0  rate=1,509 centers/s
  [  674.6s] centers=1,015,600  results=0  rate=1,506 centers/s
  [  701.6s] centers=1,054,769  results=0  rate=1,503 centers/s
  [  728.5s] centers=1,093,858  results=0  rate=1,502 centers/s
  [  755.2s] centers=1,132,968  results=0  rate=1,500 centers/s
  [  782.1s] centers=1,171,975  results=0  rate=1,499 centers/s
  [  808.7s] centers=1,210,947  results=0  rate=1,497 centers/s
  [  835.8s] centers=1,249,884  results=0  rate=1,495 centers/s
  [  862.7s] centers=1,288,830  results=0  rate=1,494 centers/s
  [  889.4s] centers=1,327,670  results=0  rate=1,493 centers/s
  [  915.9s] centers=1,366,482  results=0  rate=1,492 centers/s
  [  942.7s] centers=1,405,298  results=0  rate=1,491 centers/s
  [  969.2s] centers=1,444,039  results=0  rate=1,490 centers/s
  [  995.8s] centers=1,482,763  results=0  rate=1,489 centers/s
  [ 1022.6s] centers=1,521,397  results=0  rate=1,488 centers/s
  [ 1049.2s] centers=1,560,073  results=0  rate=1,487 centers/s
  [ 1075.8s] centers=1,598,687  results=0  rate=1,486 centers/s
  [ 1102.6s] centers=1,637,300  results=0  rate=1,485 centers/s
  [ 1129.7s] centers=1,675,847  results=0  rate=1,483 centers/s
  [ 1156.2s] centers=1,714,389  results=0  rate=1,483 centers/s
  [ 1183.0s] centers=1,752,885  results=0  rate=1,482 centers/s
  [ 1209.6s] centers=1,791,356  results=0  rate=1,481 centers/s
  [ 1236.4s] centers=1,829,788  results=0  rate=1,480 centers/s
  [ 1263.1s] centers=1,868,241  results=0  rate=1,479 centers/s
  [ 1289.6s] centers=1,906,618  results=0  rate=1,478 centers/s
  [ 1316.4s] centers=1,944,993  results=0  rate=1,477 centers/s
  [ 1343.3s] centers=1,983,334  results=0  rate=1,477 centers/s
  [ 1370.2s] centers=2,021,657  results=0  rate=1,475 centers/s
  [ 1397.1s] centers=2,059,951  results=0  rate=1,474 centers/s
