count_bonus_carres,E,A,C,J,H,a,b,c,d,e,f,h,i,j
1,845,455,713,1105,959,207025,1426681,508369,1015369,714025,412681,919681,1369,1221025
1,901,329,839,1231,959,108241,1623241,703921,1407481,811801,216121,919681,361,1515361
1,1105,809,995,1337,1205,654481,2018569,990025,1556569,1221025,885481,1452025,423481,1787569
1,1445,595,1367,1955,1519,354025,4041361,1868689,3602689,2088025,573361,2307361,134689,3822025
1,1625,575,1567,2225,1681,330625,5135761,2455489,4765489,2640625,515761,2825761,145489,4950625
1,1685,937,1513,2191,1841,877969,5350537,2289169,4250425,2839225,1428025,3389281,327913,4800481
1,1690,910,1426,2210,1918,828100,5706724,2033476,4061476,2856100,1650724,3678724,5476,4884100
1,1802,658,1678,2462,1918,432964,6492964,2815684,5629924,3247204,864484,3678724,1444,6061444
1,1885,1297,1547,2329,2171,1682209,6584257,2393209,4264225,3553225,2842225,4713241,522193,5424241
1,1921,1129,1649,2471,2159,1274641,7076881,2719201,5134801,3690241,2245681,4661281,303601,6105841
1,2125,1645,1831,2515,2383,2706025,7488289,3352561,5162161,4515625,3869089,5678689,1542961,6325225
1,2210,1618,1990,2674,2410,2617924,8074276,3960100,6226276,4884100,3541924,5808100,1693924,7150276
1,2405,1739,1873,2923,2839,3024121,10819825,3508129,6268033,5784025,5300017,8059921,748225,8543929
1,2535,1365,2139,3315,2877,1863225,12840129,4575321,9138321,6426225,3714129,8277129,12321,10989225
1,2703,987,2517,3693,2877,974169,14609169,6335289,12667329,7306209,1945089,8277129,3249,13638249
1,2890,1190,2734,3910,3038,1416100,16165444,7474756,14410756,8352100,2293444,9229444,538756,15288100
1,3250,1150,3134,4450,3362,1322500,20543044,9821956,19061956,10562500,2063044,11303044,581956,19802500
1,3315,2427,2985,4011,3615,5890329,18167121,8910225,14009121,10989225,7969329,13068225,3811329,16088121
1,3370,1874,3026,4382,3682,3511876,21402148,9156676,17001700,11356900,5712100,13557124,1311652,19201924
1,3380,1820,2852,4420,3836,3312400,22826896,8133904,16245904,11424400,6602896,14714896,21904,19536400
1,3604,1316,3356,4924,3836,1731856,25971856,11262736,22519696,12988816,3457936,14714896,5776,24245776
1,3770,2594,3094,4658,4342,6728836,26337028,9572836,17056900,14212900,11368900,18852964,2088772,21696964
1,3842,2258,3298,4942,4318,5098564,28307524,10876804,20539204,14760964,8982724,18645124,1214404,24423364
1,4225,2275,3565,5525,4795,5175625,35667025,12709225,25384225,17850625,10317025,22992025,34225,30525625
1,4250,3290,3662,5030,4766,10824100,29953156,13410244,20648644,18062500,15476356,22714756,6171844,25300900
1,4325,995,4231,6035,4417,990025,37225489,17901361,35616961,18705625,1794289,19509889,185761,36421225
1,4335,1785,4101,5865,4557,3186225,36372249,16818201,32424201,18792225,5160249,20766249,1212201,34398225
1,4420,3236,3980,5348,4820,10471696,32297104,15840400,24905104,19536400,14167696,23232400,6775696,28601104
1,4505,1645,4195,6155,4795,2706025,40581025,17598025,35187025,20295025,5403025,22992025,9025,37884025
1,4505,2173,4195,5989,4795,4721929,38565121,17598025,33171121,20295025,7418929,22992025,2024929,35868121
1,4810,3478,3746,5846,5678,12096484,43279300,14032516,25072132,23136100,21200068,32239684,2992900,34175716
